t_s,n_m,e_m,alt_m,yaw_deg
32.63820399995893,-0.008,-0.295,2.943,-0.19
32.741903099929914,-0.008,-0.296,3.022,-0.16
32.84424480004236,-0.008,-0.296,3.103,-0.16
32.97292950004339,-0.008,-0.297,3.185,-0.13
33.174479899927974,-0.007,-0.297,3.269,-0.14
33.34030989999883,-0.007,-0.298,3.354,-0.12
33.48436140012927,-0.007,-0.299,3.441,-0.15
33.597990199923515,-0.007,-0.299,3.485,-0.15
33.70127460011281,-0.007,-0.299,3.53,-0.14
33.92671680008061,-0.007,-0.3,3.62,-0.17
34.03976200008765,-0.006,-0.3,3.712,-0.16
34.14335209992714,-0.006,-0.301,3.805,-0.18
34.26417910004966,-0.006,-0.302,3.9,-0.16
34.46564429998398,-0.006,-0.302,3.997,-0.18
34.567183499922976,-0.005,-0.303,4.095,-0.15
34.66834810003638,-0.005,-0.303,4.194,-0.16
34.769584600115195,-0.005,-0.304,4.295,-0.13
34.89078789995983,-0.005,-0.304,4.397,-0.15
35.02364909998141,-0.004,-0.305,4.501,-0.13
35.14748649997637,-0.004,-0.305,4.606,-0.16
35.2693940999452,-0.004,-0.306,4.712,-0.14
35.49076419998892,-0.004,-0.306,4.82,-0.17
35.593606000067666,-0.003,-0.307,4.929,-0.15
35.69579489994794,-0.003,-0.307,5.039,-0.17
35.82019250001758,-0.003,-0.308,5.151,-0.13
35.9420201999601,-0.003,-0.308,5.264,-0.15
36.149703700095415,-0.002,-0.309,5.378,-0.12
36.25263270013966,-0.002,-0.309,5.493,-0.14
36.37445250013843,-0.002,-0.31,5.61,-0.14
36.49523809994571,-0.001,-0.31,5.728,-0.16
36.69710119999945,-0.001,-0.311,5.848,-0.15
36.81921430001967,-0.001,-0.311,5.968,-0.17
36.95709759998135,-0.0,-0.312,6.09,-0.15
37.06847960012965,-0.0,-0.312,6.213,-0.16
37.19056160002947,0.0,-0.313,6.338,-0.14
37.40330470004119,0.0,-0.313,6.463,-0.15
37.504397799959406,0.001,-0.314,6.589,-0.13
37.62208870006725,0.001,-0.314,6.717,-0.13
37.83181870006956,0.001,-0.314,6.845,-0.13
37.93597250012681,0.002,-0.315,6.974,-0.14
38.062529100105166,0.002,-0.315,7.105,-0.14
38.19578459998593,0.002,-0.316,7.236,-0.16
38.31652360013686,0.003,-0.316,7.368,-0.15
38.43511980003677,0.003,-0.316,7.501,-0.16
38.65517479996197,0.004,-0.317,7.701,-0.16
38.77018200000748,0.004,-0.318,7.904,-0.13
38.887774100061506,0.005,-0.318,8.109,-0.11
39.0893655999098,0.005,-0.319,8.316,-0.12
39.190426300046965,0.006,-0.319,8.454,-0.13
39.29155750013888,0.006,-0.319,8.664,-0.13
39.493462099926546,0.007,-0.32,8.875,-0.14
39.59440269996412,0.007,-0.32,9.017,-0.16
39.69531000009738,0.008,-0.321,9.231,-0.16
39.7964075000491,0.008,-0.321,9.375,-0.18
39.91419259994291,0.009,-0.321,9.519,-0.17
40.0307636000216,0.009,-0.322,9.664,-0.18
40.15135070006363,0.009,-0.322,9.809,-0.16
40.271025999914855,0.01,-0.322,9.956,-0.16
40.3919184000697,0.01,-0.323,10.102,-0.14
