t_s,n_m,e_m,alt_m,yaw_deg
131.31472539994866,-17.273,-3.428,0.0,155.49
131.41742890002206,-17.273,-3.428,0.0,155.49
131.52076110010967,-17.273,-3.428,0.0,155.49
131.62530800001696,-17.273,-3.428,0.0,155.49
131.7307441001758,-17.273,-3.428,0.0,155.49
131.83289950015023,-17.273,-3.428,0.0,155.49
131.9339707000181,-17.273,-3.428,0.0,155.49
132.03648620005697,-17.273,-3.428,0.0,155.49
132.1395601001568,-17.273,-3.428,0.0,155.49
132.24241930013523,-17.273,-3.428,0.0,155.49
132.34570830012672,-17.273,-3.428,0.0,155.49
132.44848540006205,-17.273,-3.428,0.0,155.49
132.55205669999123,-17.273,-3.428,0.0,155.49
132.65388380014338,-17.273,-3.428,0.0,155.49
132.75615260004997,-17.273,-3.428,0.0,155.49
132.8581906000618,-17.273,-3.428,0.0,155.49
132.96306039998308,-17.273,-3.428,0.0,155.49
133.06694529997185,-17.273,-3.428,0.0,155.49
133.17016720003448,-17.273,-3.428,0.0,155.49
133.27117100008763,-17.273,-3.428,0.0,155.49
133.3721205999609,-17.273,-3.428,0.0,155.49
133.47425490012392,-17.273,-3.428,0.0,155.49
133.57662350009196,-17.273,-3.428,0.0,155.49
133.67854900006205,-17.273,-3.428,0.0,155.49
133.7809307000134,-17.273,-3.428,0.0,155.49
133.88170340005308,-17.273,-3.428,0.0,155.49
133.98473850009032,-17.273,-3.428,0.0,155.49
134.0875830000732,-17.273,-3.428,0.0,155.49
134.19064859999344,-17.273,-3.428,0.0,155.49
134.293705600081,-17.273,-3.428,0.0,155.49
134.40236299997196,-17.273,-3.428,0.0,155.49
134.50326530006714,-17.273,-3.428,0.0,155.49
134.60376760014333,-17.273,-3.428,0.0,155.49
134.7047083999496,-17.273,-3.428,0.0,155.49
134.80713630001992,-17.273,-3.428,0.0,155.49
134.9118315000087,-17.273,-3.428,0.0,155.49
135.0172157001216,-17.273,-3.428,0.0,155.49
135.12030460010283,-17.273,-3.428,0.0,155.49
135.22188930003904,-17.273,-3.428,0.0,155.49
135.32570910011418,-17.273,-3.428,0.0,155.49
135.4286974000279,-17.273,-3.428,0.0,155.49
135.53171789995395,-17.273,-3.428,0.0,155.49
135.64325870014727,-17.273,-3.428,0.0,155.49
135.74448090000078,-17.273,-3.428,0.0,155.49
135.84906339994632,-17.273,-3.428,0.0,155.49
135.95077520003542,-17.273,-3.428,0.0,155.49
136.05361309996806,-17.273,-3.428,0.0,155.49
136.15443510003388,-17.273,-3.428,0.0,155.49
136.26031269994564,-17.273,-3.428,0.0,155.49
136.3615580999758,-17.273,-3.428,0.0,155.49
136.46386980009265,-17.273,-3.428,0.0,155.49
136.56493570003659,-17.273,-3.428,0.0,155.49
136.66720969998278,-17.273,-3.428,0.0,155.49
136.7705183001235,-17.273,-3.428,0.0,155.49
136.87230190006085,-17.273,-3.428,0.0,155.49
136.9741460001096,-17.273,-3.428,0.0,155.49
137.07762939995155,-17.273,-3.428,0.0,155.49
137.1795733999461,-17.273,-3.428,0.0,155.49
137.282817899948,-17.273,-3.428,0.0,155.49
137.38449690002017,-17.273,-3.428,0.0,155.49
137.485870399978,-17.273,-3.428,0.0,155.49
137.58845990011469,-17.273,-3.428,0.0,155.49
137.69214250007644,-17.273,-3.428,0.0,155.49
137.7950081001036,-17.273,-3.428,0.0,155.49
137.89809869998135,-17.273,-3.428,0.0,155.49
138.0008863999974,-17.273,-3.428,0.0,155.49
138.1028047001455,-17.273,-3.428,0.0,155.49
138.20529610011727,-17.273,-3.428,0.0,155.49
138.30766750010662,-17.273,-3.428,0.0,155.49
138.41030049999245,-17.273,-3.428,0.0,155.49
138.5124652001541,-17.273,-3.428,0.0,155.49
138.6158418999985,-17.273,-3.428,0.0,155.49
138.72049010009505,-17.273,-3.428,0.0,155.49
138.8242423001211,-17.273,-3.428,0.0,155.49
138.92561230016872,-17.273,-3.428,0.0,155.49
139.02728509996086,-17.273,-3.428,0.0,155.49
139.12834960012697,-17.273,-3.428,0.0,155.49
139.23058870015666,-17.273,-3.428,0.0,155.49
139.33170110010542,-17.273,-3.428,0.0,155.49
139.4328934000805,-17.273,-3.428,0.0,155.49
139.53595410007983,-17.273,-3.428,0.0,155.49
139.6386190999765,-17.273,-3.428,0.0,155.49
139.74051859998144,-17.273,-3.428,0.0,155.49
139.84170010010712,-17.273,-3.428,0.0,155.49
139.94554530014284,-17.273,-3.428,0.0,155.49
140.0482644001022,-17.273,-3.428,0.0,155.49
140.1514487999957,-17.273,-3.428,0.0,155.49
140.25284170010127,-17.273,-3.428,0.0,155.49
140.35381120000966,-17.273,-3.428,0.0,155.49
140.45669030002318,-17.273,-3.428,0.0,155.49
140.55869360012002,-17.273,-3.428,0.0,155.49
140.6601162001025,-17.273,-3.428,0.0,155.49
140.76336560002528,-17.273,-3.428,0.0,155.49
140.86730660009198,-17.273,-3.428,0.0,155.49
140.97369600017555,-17.273,-3.428,0.0,155.49
141.07454000017606,-17.273,-3.428,0.0,155.49
141.17542590014637,-17.273,-3.428,0.0,155.49
141.27628810005262,-17.273,-3.428,0.0,155.49
141.37703920016065,-17.273,-3.428,0.0,155.49
141.47883120016195,-17.273,-3.428,0.0,155.49
141.58072940004058,-17.273,-3.428,0.0,155.49
141.68309319997206,-17.273,-3.428,0.0,155.49
141.7898655999452,-17.273,-3.428,0.0,155.49
141.89079269999638,-17.273,-3.428,0.0,155.49
141.9917048001662,-17.273,-3.428,0.0,155.49
142.09400840010494,-17.273,-3.428,0.0,155.49
142.1958543001674,-17.273,-3.428,0.0,155.49
142.29826249997132,-17.273,-3.428,0.0,155.49
142.40401890012436,-17.273,-3.428,0.0,155.49
142.50596410012804,-17.273,-3.428,0.0,155.49
142.60781710012816,-17.273,-3.428,0.0,155.49
142.7107792000752,-17.273,-3.428,0.0,155.49
142.81172290001996,-17.273,-3.428,0.0,155.49
142.91323400009423,-17.273,-3.428,0.0,155.49
143.01684259995818,-17.273,-3.428,0.0,155.49
143.1188175000716,-17.273,-3.428,0.0,155.49
143.22128210007213,-17.273,-3.428,0.0,155.49
143.32369340001605,-17.273,-3.428,0.0,155.49
143.43365120003,-17.273,-3.428,0.0,155.49
143.53457599994726,-17.273,-3.428,0.0,155.49
143.63522480009124,-17.273,-3.428,0.0,155.49
143.7361046001315,-17.273,-3.428,0.0,155.49
143.83807820011862,-17.273,-3.428,0.0,155.49
143.94028570014052,-17.273,-3.428,0.0,155.49
144.0428901000414,-17.273,-3.428,0.0,155.49
144.14372520009056,-17.273,-3.428,0.0,155.49
144.24600900011137,-17.273,-3.428,0.0,155.49
144.34800070011988,-17.273,-3.428,0.0,155.49
144.44904810003936,-17.273,-3.428,0.0,155.49
144.55566630000249,-17.273,-3.428,0.0,155.49
144.65666160010733,-17.273,-3.428,0.0,155.49
144.75870090001263,-17.273,-3.428,0.0,155.49
144.86155120003968,-17.273,-3.428,0.0,155.49
144.96345379995182,-17.273,-3.428,0.0,155.49
145.07490190002136,-17.273,-3.428,0.0,155.49
145.1832648999989,-17.273,-3.428,0.0,155.49
145.28839950007387,-17.273,-3.428,0.0,155.49
145.39086319995113,-17.273,-3.428,0.0,155.49
145.4937813000288,-17.273,-3.428,0.0,155.49
145.60708680003881,-17.273,-3.428,0.0,155.49
145.71125790011138,-17.273,-3.428,0.0,155.49
145.81503519997932,-17.273,-3.428,0.0,155.49
145.9186526001431,-17.273,-3.428,0.0,155.49
146.02343549998477,-17.273,-3.428,0.0,155.49
146.12602160009556,-17.273,-3.428,0.0,155.49
146.2289477000013,-17.273,-3.428,0.0,155.49
146.33135190000758,-17.273,-3.428,0.0,155.49
146.4342416001018,-17.273,-3.428,0.0,155.49
146.53716260008514,-17.273,-3.428,0.0,155.49
146.63972920016386,-17.273,-3.428,0.0,155.49
146.74205550015904,-17.273,-3.428,0.0,155.49
146.84441590006463,-17.273,-3.428,0.0,155.49
146.94759830017574,-17.273,-3.428,0.0,155.49
